ONTOTERM,right atrium auricular region,esophagus squamous epithelium,skin of leg,uterus,frontal cortex,esophagus muscularis mucosa,subcutaneous adipose tissue,right lobe of liver,transverse colon,upper lobe of left lung,spleen,amygdala,sigmoid colon,skin of abdomen,cortex of kidney,substantia nigra,anterior cingulate cortex,left ventricle myocardium,caudate nucleus,gastrocnemius medialis,tibial artery,dorsolateral prefrontal cortex,fibroblast,prostate gland,nucleus accumbens,gastroesophageal sphincter,venous blood,breast epithelium,C1 segment of cervical spinal cord,putamen,K562,omental fat pad,tibial nerve,adrenal gland,thyroid gland,Peyer's patch,stomach,ascending aorta,lymphoblast,pituitary gland,left ovary,vagina,testis,cerebellum,anterior lingual gland,coronary artery,Ammon's horn,body of pancreas,hypothalamus,urinary bladder,endocervix,fallopian tube,ectocervix
ENSG00000104814,-0.0654849244,0.5047559055,0.4969375204,0.3488736974,0.3566872891,0.2397617213,0.6077122545,0.2709540881,0.6551521371,1.0015055013,1.9011491595,0.1300844275,0.2958901238,0.460187009,0.1478649946,0.3549502755,0.2373744833,-0.109356747,0.2058012272,0.0546011399,0.1153796554,0.2730315234,-0.172701378,0.5957582309,0.2364400654,0.2529559445,1.0315065261,0.4646673796,0.5039277278,0.1030905804,-0.0102311493,0.5353120144,0.5850167129,0.273757627,0.587838921,1.259311218,0.4123839663,0.353308188,2.0733778614,0.5124335123,0.2039998182,0.5227031087,0.5746339698,0.4959208763,0.5595545582,0.4644007602,0.2154751211,-0.1005323431,0.5113600191,0.5072890606,0.3784624406,0.6835789197,0.4166154835
ENSG00000097046,-0.197894698,0.4436396537,0.2349666805,0.3246569912,0.5845692879,0.1862394535,0.2274247541,-0.2697710407,0.2474051737,0.5937064611,0.9174320868,0.2580986914,0.1992386377,0.2578506668,0.1258060077,0.2141030946,0.4492045778,-0.4213212861,0.3044379857,-0.6636900303,-0.2796776311,0.6013101,0.5711048202,0.2483488429,0.3660378623,0.1240551195,-0.4944009052,0.2103841467,0.2790307227,0.1567699433,1.3743193363,0.2164055739,0.2390114275,0.3258275193,0.276750302,0.4056667152,-0.0236712841,-0.1594952376,1.0844104852,0.6362105806,0.2988324753,0.332075147,1.1547067304,1.1231601323,0.1587752633,0.0529639296,0.2509507887,-0.3063113403,0.3975295656,0.2412387558,0.2760595587,0.2580308681,0.3757305864
ENSG00000011566,0.9879238728,0.8843361539,1.2119248639,1.3195700067,0.972746609,1.176697638,1.262657257,0.699434982,1.0151898862,1.2211173732,0.9201532158,0.7225587545,1.2076738621,1.1656089413,0.8583803503,0.7587123018,0.8815122974,0.8295145284,0.7976104593,1.1925819425,1.2952233405,0.9857942558,1.3191658859,1.1344167858,0.8259354179,1.1784471773,-0.557972943,1.2260020076,0.8222885177,0.6593463815,1.0856027539,1.1230765941,1.3236038763,1.1178592471,1.2738298688,1.0382560572,1.164856746,1.2406855855,0.519724632,1.1985948133,1.3689592154,1.1276397239,1.2584765144,1.4149938722,1.0290442248,1.2041957547,0.82667818,0.7118671574,0.8509101088,1.2531309976,1.2673664012,1.3082643048,1.1672287535
ENSG00000072062,1.9650407654,1.5275468372,1.5929854044,1.7865026506,1.7554744797,1.792634365,1.7749841791,1.4984657438,1.5509753731,1.7029230139,1.8580279804,1.4041818598,1.7305756461,1.5354554313,1.3072829649,1.5239506271,1.6316529326,1.8402589554,1.4194627534,2.129134378,1.9366643766,1.7616135344,1.7193134149,1.6371850478,1.45699482,1.7722328065,1.5325161064,1.7122026169,1.4712655414,1.3320668786,1.6978465814,1.7308803035,1.6863726344,2.0270328787,1.6675557709,1.5234545642,1.398700699,1.8918751426,1.440306145,1.8964490274,1.9825271029,1.6563455101,1.897786501,1.896087553,1.563812509,1.8122163858,1.5030958053,1.1138943598,1.7150927121,1.7387593098,1.8175438222,1.8061739452,1.7983883072
ENSG00000168038,0.6923738318,0.1164265403,0.3061204783,0.7117356356,-0.0270723453,0.205876397,0.4458527812,-0.1044606945,0.1171379311,0.5697663953,0.2869080397,-0.1609412611,0.1939405098,0.3191476084,0.1588022418,-0.1164959672,-0.1453601317,-0.2463771062,-0.0557833443,-0.4827715351,0.3714275199,-0.0538831765,0.4494892871,0.3592744819,-0.0781506015,0.2032919289,-0.3229078201,0.4164738215,0.0293293525,-0.244482845,0.3801656229,0.2895052831,0.3439393318,0.2939503388,0.5805244353,0.2284074923,0.0997552145,0.3453665757,0.3476741708,0.4789932994,0.3612968845,0.5496517433,1.3263562188,-0.0923588032,0.2084200348,0.3279719264,-0.1225819208,-0.0590817887,0.0307454414,0.3886464497,1.1300515522,0.7854956305,0.8335018888
ENSG00000106605,1.3182747052,1.6881483477,1.488577953,1.6579176773,1.414164959,1.7586972615,1.6540864624,0.3711836679,1.3013387197,1.7741952753,1.8711224871,1.1285570252,1.7151422706,1.440231758,1.3220914013,1.260261556,1.3153070406,1.173841136,1.1361476861,1.3708810218,1.6893024577,1.4349456106,1.4892491271,1.5715915147,1.237736852,1.6867519325,0.9838672333,1.6146551057,1.1502978324,1.0553155242,1.7971086448,1.5915957071,1.7170423959,1.355045755,1.4317574583,1.3286704797,1.2741085804,1.7465090739,1.7666451681,1.455356521,1.6358708845,1.6078245053,1.2377953861,1.3890795345,1.4832005213,1.6424069044,1.0938960571,0.9334367281,1.3244721455,1.6205615343,1.6784153522,1.6762072555,1.6744041108
ENSG00000060140,-1.830021684,0.7008745962,-0.1198296971,-0.9125892923,0.4434068624,-1.0101383674,-0.567507508,-1.5031908983,0.4504458663,-0.2131780111,-0.2204789306,-0.477390189,-0.7174552269,-0.1557861234,-0.9532871235,-0.5443529882,0.0711689319,-2.1997377787,-0.105223242,-1.7274951357,-1.5059227723,0.3878828132,-0.6759691866,0.6032884954,0.1459680282,-0.9620781745,-0.9706668374,-0.2142906152,-1.0985409247,-0.211126058,-0.545596094,-0.7335115402,-0.8241222814,-1.6024108482,-0.9828650405,0.4297985205,0.1629030814,-1.2481137864,-1.469661976,0.3118971782,-1.5973403721,0.3497907634,-0.7479259934,-1.8090860809,0.6419689071,-0.9293185119,-0.50762928,-1.5035305655,-0.4034234565,0.2439881586,-0.4512815979,-0.344492711,-0.4279492611
ENSG00000164076,-1.8262224361,-1.7557439606,-0.8430566201,-2.0470856051,2.0197154644,-0.8088799113,-1.8758364374,-2.2198672667,-1.1725227995,-1.5509891382,-2.1097253834,1.4294914116,-1.0793978274,-0.9682025927,-1.9734771433,0.6102110352,1.7178178827,-1.8713461337,1.8221502999,-1.8290518606,-1.9330215652,1.8849523737,-2.1757695852,-1.9125141234,2.06533816,-0.8304622318,-1.9888191609,-1.6713360544,0.0453953197,1.7174283267,-0.3258709246,-1.9188245893,-1.5817294546,-1.637346694,-1.2335620044,-0.7576532408,-1.0081616097,-2.035683517,-1.5539964664,1.0740938776,-1.9939899213,-2.0415337269,0.410999565,0.6368309141,-1.5414028988,-1.9688321342,1.6058118968,-1.7066937307,1.460324049,-2.2963177345,-2.4090943589,-2.0121367992,-1.7066378087
ENSG00000183943,0.2749604538,1.156846076,1.0289535174,0.7094728968,0.4212358601,0.4464614267,0.8429553627,0.0017634883,0.6593557257,1.120572204,1.0424650492,0.4752480075,0.4650025397,1.0350288499,0.7082812187,0.7794215847,0.4328056965,0.1467020507,0.3568895634,0.0387136736,0.5661715375,0.3873659958,0.8405198453,0.6864104004,0.3654080346,0.4932449013,0.3724863865,0.838273353,0.7821572041,0.1955890957,1.1669462171,0.8109252983,1.1354513598,-0.0105891454,1.5265762781,0.787360969,0.3874971878,0.636176675,1.3037831336,0.4058492013,0.7310451861,1.2125233758,0.9750323198,0.2320409209,0.8712656446,0.6941246571,0.4384903263,0.276982442,0.7307466455,0.5624745449,1.0391028716,1.0881572068,0.9538285971
ENSG00000101782,1.2887777504,1.9225864804,1.709871348,1.5433715317,1.0628136382,1.4617635037,1.6159747392,1.3993343771,1.5750357428,1.6601528413,1.4872885591,0.9244573574,1.4599795637,1.6802937512,1.2108820139,1.0936889804,1.0033362422,1.0623567613,0.9461209825,1.55501233,1.5916080431,1.1118563769,1.6271703675,1.5110772592,0.945982375,1.4945919585,1.3315235591,1.5550651272,1.3167528633,0.8658152346,1.8074890202,1.4764552473,1.615940817,1.3493038996,1.5805582142,1.6266797129,1.3433813586,1.545555108,1.7407841602,1.4709341292,1.4924643047,1.8729950213,1.6325515299,1.4654185006,1.6009306133,1.553379069,0.9641732707,1.2128967414,1.0978163779,1.7022543848,1.6082527791,1.56279725,1.7513825143
